"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns","426871.109","4583730.606","426779.211","4583529.659","2.124064","41.399974","BUS -66-68-V7--",5,24,"Sarrià-Sant Gervasi","les Tres Torres",,
"K015","Transports i serveis relacionats","Autobusos nocturns","431651.998","4581520.132","431560.055","4581319.204","2.181501","41.380486","NITBUS -N0-N6--",1,2,"Ciutat Vella","el Barri Gòtic",,
"K015","Transports i serveis relacionats","Autobusos nocturns","427887.77","4582695.243","427795.862","4582494.305","2.136348","41.390741","NITBUS -N12--",4,19,"Les Corts","les Corts",,
"K014","Transports i serveis relacionats","Autobusos diürns","429224.949","4581022.884","429133.028","4580821.961","2.152536","41.375798","BUS -13-91-L94-L95--",2,10,"Eixample","Sant Antoni",,
"K014","Transports i serveis relacionats","Autobusos diürns","425500.906","4581893.146","425409.02","4581692.216","2.107901","41.383299","BUS -67-L97-L79--",4,20,"Les Corts","la Maternitat i Sant Ramon",,
"K015","Transports i serveis relacionats","Autobusos nocturns","428806.001","4580953.335","428714.084","4580752.413","2.147535","41.375134","NITBUS -N14-N2-N28--",3,15,"Sants-Montjuïc","Hostafrancs",,
"K014","Transports i serveis relacionats","Autobusos diürns","428065.095","4585324.999","427973.186","4585124.037","2.138156","41.414442","BUS -22-60-123-124-131-V15-H4--",6,28,"Gràcia","Vallcarca i els Penitents",,
"K014","Transports i serveis relacionats","Autobusos diürns","426998.335","4583241.172","426906.435","4583040.229","2.125645","41.395577","BUS -66-130--",5,23,"Sarrià-Sant Gervasi","Sarrià",,
"K014","Transports i serveis relacionats","Autobusos diürns","430894.992","4585759.783","430803.057","4585558.816","2.171964","41.418606","BUS -39-55-D40--",7,35,"Horta-Guinardó","el Guinardó",,
"K015","Transports i serveis relacionats","Autobusos nocturns","431800.467","4583841.972","431708.523","4583641.022","2.183015","41.401411","NITBUS -N3-N7--",2,5,"Eixample","el Fort Pienc",,
"K015","Transports i serveis relacionats","Autobusos nocturns","429214.43","4581312.549","429122.509","4581111.624","2.152377","41.378406","NITBUS -N0--",2,9,"Eixample","la Nova Esquerra de l'Eixample",,
"K014","Transports i serveis relacionats","Autobusos diürns","426148.991","4584168.888","426057.099","4583967.937","2.115373","41.403855","BUS -130--",5,23,"Sarrià-Sant Gervasi","Sarrià",,
"K014","Transports i serveis relacionats","Autobusos diürns","425746.116","4582349.76","425654.228","4582148.826","2.110777","41.387434","BUS -54-75-113-EP1-JM-H4--",4,21,"Les Corts","Pedralbes",,
"K015","Transports i serveis relacionats","Autobusos nocturns","425765.996","4582049.218","425674.107","4581848.287","2.111052","41.384729","NITBUS -N12--",4,21,"Les Corts","Pedralbes",,
"K014","Transports i serveis relacionats","Autobusos diürns","425824.997","4582874.465","425733.108","4582673.526","2.111656","41.392167","BUS -63-68-75-78-H4--",4,21,"Les Corts","Pedralbes",,
"K014","Transports i serveis relacionats","Autobusos diürns","425756.171","4582040.719","425664.282","4581839.788","2.110935","41.384652","BUS -H6--",4,21,"Les Corts","Pedralbes",,
"K015","Transports i serveis relacionats","Autobusos nocturns","431385.891","4588307.021","431293.952","4588106.03","2.177548","41.44159","NITBUS -N1--",8,52,"Nou Barris","la Prosperitat",,
"K014","Transports i serveis relacionats","Autobusos diürns","429799.002","4586275.885","429707.077","4586074.913","2.158791","41.423159","BUS -39--",7,36,"Horta-Guinardó","la Font d'en Fargues",,
"K015","Transports i serveis relacionats","Autobusos nocturns","430741.99","4585530.638","430650.056","4585329.673","2.17016","41.416529","NITBUS -N6--",7,35,"Horta-Guinardó","el Guinardó",,
"K015","Transports i serveis relacionats","Autobusos nocturns","429673.316","4586726.16","429581.393","4586525.184","2.157234","41.427204","NITBUS -N4--",7,37,"Horta-Guinardó","el Carmel",,
"K014","Transports i serveis relacionats","Autobusos diürns","427220.1","4581391.15","427128.198","4581190.224","2.12852","41.378935","BUS -54-H10--",3,17,"Sants-Montjuïc","Sants - Badal",,
